frame,tipo_objeto,confianza,tracking_id,x1,y1,x2,y2,matricula_conf,mx1,my1,mx2,my2,texto_matricula
18,person,0.8456242084503174,2,1801,544,1876,736,0.0,0,0,0,0,
18,car,0.5784558057785034,3,1064,584,1175,692,0.0,0,0,0,0,
18,truck,0.5853687524795532,7,111,527,476,668,0.0,0,0,0,0,
19,car,0.9186071157455444,1,1139,539,1476,792,0.7281075119972229,1139,539,1206,603,
19,person,0.8386245369911194,2,1800,543,1875,736,0.0,0,0,0,0,
19,car,0.7045584917068481,3,1066,585,1173,692,0.0,0,0,0,0,
19,truck,0.5020081996917725,7,110,526,474,668,0.0,0,0,0,0,
20,car,0.9105334281921387,1,1140,539,1476,791,0.8344507217407227,1231,640,1326,681,03871 [TIZ
20,person,0.8250202536582947,2,1800,542,1874,735,0.0,0,0,0,0,
20,car,0.7387591004371643,3,1067,586,1174,691,0.0,0,0,0,0,
20,truck,0.5257397890090942,7,109,526,479,669,0.5405493378639221,371,620,478,669,
21,car,0.9079785943031311,1,1142,540,1477,790,0.5633372664451599,1142,540,1208,606,
21,person,0.8271006941795349,2,1800,541,1873,734,0.0,0,0,0,0,
21,car,0.7691237330436707,3,1068,587,1172,691,0.0,0,0,0,0,
21,truck,0.5269832611083984,7,110,525,442,667,0.0,0,0,0,0,
22,car,0.9070324301719666,1,1143,540,1477,789,0.728840172290802,1143,540,1209,605,
22,person,0.8313722014427185,2,1801,541,1872,734,0.0,0,0,0,0,
22,car,0.7051559090614319,3,1069,587,1175,690,0.0,0,0,0,0,
22,truck,0.5174010992050171,7,110,525,422,666,0.0,0,0,0,0,
23,car,0.9025313854217529,1,1145,541,1478,789,0.8050516843795776,1237,639,1330,681,03871 LID
23,person,0.840294599533081,2,1801,540,1872,734,0.0,0,0,0,0,
23,car,0.7158911228179932,3,1070,587,1177,690,0.0,0,0,0,0,
24,car,0.9077828526496887,1,1148,541,1478,788,0.5883801579475403,1148,541,1215,605,
24,person,0.8345741033554077,2,1801,540,1871,734,0.0,0,0,0,0,
24,car,0.5850358605384827,3,1071,586,1180,690,0.0,0,0,0,0,
25,car,0.9098743796348572,1,1149,541,1478,788,0.6094342470169067,1149,541,1216,603,
25,person,0.8422681093215942,2,1800,540,1870,734,0.0,0,0,0,0,
