epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,192.142,1.1266,0.7103,1.19595,1,0.97523,0.9851,0.61092,1.18848,0.76902,1.21824,0.0014588,0.0014588,0.0014588
43,197.265,1.11438,0.6978,1.20492,0.99228,0.98113,0.98511,0.61084,1.19829,0.72019,1.25811,0.0014456,0.0014456,0.0014456
44,201.818,1.09605,0.72819,1.19063,0.99189,0.98113,0.98514,0.60318,1.18204,0.64377,1.29055,0.0014324,0.0014324,0.0014324
45,206.101,1.12385,0.7089,1.21239,0.99589,0.98113,0.98516,0.59289,1.29003,0.60347,1.42367,0.0014192,0.0014192,0.0014192
46,210.532,1.12199,0.70836,1.20846,0.9935,0.98113,0.98511,0.47152,1.59668,0.71324,1.46333,0.001406,0.001406,0.001406
47,215.167,1.12415,0.70653,1.19888,0.99391,0.98113,0.98511,0.60293,1.2119,0.69908,1.27557,0.0013928,0.0013928,0.0013928
48,220.144,1.09646,0.692,1.18183,0.96493,0.96226,0.98358,0.58541,1.27441,0.75944,1.28995,0.0013796,0.0013796,0.0013796
49,224.95,1.11446,0.69999,1.18987,1,0.95612,0.98408,0.59836,1.20983,0.6243,1.25631,0.0013664,0.0013664,0.0013664
50,229.618,1.08676,0.69382,1.16669,0.9618,0.95023,0.95522,0.61673,1.12425,0.59614,1.20643,0.0013532,0.0013532,0.0013532
51,233.946,1.11261,0.73841,1.17759,0.92522,0.93389,0.97701,0.5144,1.53715,0.77561,1.51021,0.00134,0.00134,0.00134
52,238.594,1.06695,0.71136,1.16704,0.98068,0.95776,0.98389,0.58078,1.3584,0.61994,1.42893,0.0013268,0.0013268,0.0013268
53,243.603,1.05179,0.66597,1.15249,0.9558,0.98113,0.98362,0.60451,1.21864,0.57566,1.27554,0.0013136,0.0013136,0.0013136
54,248.253,1.05704,0.66048,1.16034,0.96714,0.92453,0.98047,0.63373,1.24718,0.66245,1.30138,0.0013004,0.0013004,0.0013004
55,252.389,1.0818,0.67384,1.17382,0.95209,0.9434,0.97756,0.57772,1.26227,0.87027,1.33329,0.0012872,0.0012872,0.0012872
56,256.654,1.0891,0.66363,1.17786,0.89331,0.94792,0.94937,0.62238,1.18964,0.97638,1.28233,0.001274,0.001274,0.001274
57,260.616,1.0596,0.65099,1.15474,0.97788,0.9434,0.98291,0.62827,1.19848,0.70585,1.29879,0.0012608,0.0012608,0.0012608
58,264.581,1.04623,0.67961,1.15539,0.98092,0.97013,0.98469,0.59461,1.30708,0.71384,1.37225,0.0012476,0.0012476,0.0012476
59,268.502,1.0597,0.67283,1.16144,0.99843,0.98113,0.98507,0.60338,1.27141,0.64995,1.32005,0.0012344,0.0012344,0.0012344
60,272.567,1.0987,0.65811,1.16581,0.98025,0.93673,0.98008,0.55252,1.41793,0.65535,1.47824,0.0012212,0.0012212,0.0012212
61,276.501,1.03839,0.63455,1.14168,0.93235,0.92453,0.95339,0.61643,1.19205,0.64007,1.27205,0.001208,0.001208,0.001208
62,280.544,1.06193,0.64852,1.15442,0.99956,0.9434,0.98232,0.58636,1.3679,0.7064,1.43955,0.0011948,0.0011948,0.0011948
63,284.482,1.05341,0.61879,1.14745,0.94154,0.98113,0.98286,0.64084,1.10637,0.64741,1.18728,0.0011816,0.0011816,0.0011816
64,288.512,1.02301,0.61281,1.11081,1,0.92372,0.98151,0.57196,1.32544,0.68896,1.33875,0.0011684,0.0011684,0.0011684
65,292.4,1.03471,0.61657,1.14621,0.99235,0.98113,0.98513,0.55485,1.4482,0.76834,1.47108,0.0011552,0.0011552,0.0011552
66,296.313,1.00176,0.62535,1.1126,0.99103,0.96226,0.98445,0.49179,1.50563,0.67951,1.53201,0.001142,0.001142,0.001142
67,300.234,1.01596,0.63994,1.13798,0.97606,0.96226,0.98453,0.62143,1.22035,0.59443,1.31726,0.0011288,0.0011288,0.0011288
68,304.432,1.02527,0.6373,1.15087,1,0.97226,0.98529,0.61675,1.16417,0.60702,1.27631,0.0011156,0.0011156,0.0011156
69,308.353,1.0466,0.64918,1.15309,0.9807,0.95889,0.98371,0.63198,1.24153,0.60131,1.28646,0.0011024,0.0011024,0.0011024
70,312.435,1.03596,0.61925,1.13094,0.99194,0.98113,0.98523,0.66758,1.09742,0.55683,1.1652,0.0010892,0.0010892,0.0010892
71,316.485,1.02591,0.59002,1.12575,0.99829,0.98113,0.98526,0.55824,1.38694,0.63421,1.33903,0.001076,0.001076,0.001076
72,320.555,1.0519,0.64883,1.1314,0.96195,0.96226,0.95865,0.62914,1.19904,0.58047,1.22532,0.0010628,0.0010628,0.0010628
73,324.574,1.05295,0.63878,1.15715,0.97253,0.98113,0.98565,0.57245,1.28014,0.71598,1.30611,0.0010496,0.0010496,0.0010496
74,328.56,1.01578,0.63241,1.14154,0.99307,0.98113,0.98562,0.59671,1.27314,0.58808,1.28979,0.0010364,0.0010364,0.0010364
75,332.754,0.97816,0.59658,1.09659,0.99565,0.98113,0.98621,0.6272,1.2017,0.56424,1.2324,0.0010232,0.0010232,0.0010232
76,336.833,1.00541,0.61386,1.13645,0.9578,0.98113,0.98321,0.5852,1.23319,0.67942,1.26678,0.00101,0.00101,0.00101
77,340.908,0.98319,0.60067,1.11998,0.98966,0.98113,0.98522,0.6371,1.20796,0.57694,1.22923,0.0009968,0.0009968,0.0009968
78,344.854,1.00591,0.61688,1.12387,0.99161,0.98113,0.98561,0.63121,1.23235,0.55077,1.26118,0.0009836,0.0009836,0.0009836
79,348.966,0.97458,0.58795,1.11216,0.99325,0.98113,0.98532,0.62889,1.16579,0.54687,1.22516,0.0009704,0.0009704,0.0009704
80,353.008,1.0339,0.60827,1.11899,0.99067,0.98113,0.98532,0.65335,1.15123,0.54992,1.22452,0.0009572,0.0009572,0.0009572
